month,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
01-Jan,1.6838709677419357,-0.8193548387096774,4.658064516129032,1.2741935483870968,4.838709677419355,169.4193548387097,7.767741935483872,28.448387096774194,1028.5354838709677,
02-Feb,4.471428571428572,1.157142857142857,8.457142857142857,1.9428571428571428,0.3571428571428571,201.8571428571429,12.667857142857144,46.10357142857144,1023.5357142857144,
03-Mar,7.229032258064516,2.2,13.067741935483872,0.8548387096774194,0.0,83.06666666666666,6.8566666666666665,26.976666666666667,1022.57,
04-Apr,9.153333333333334,4.593333333333334,14.276666666666667,2.8400000000000003,1.6666666666666667,149.46666666666667,9.766666666666667,33.593333333333334,1014.0433333333332,
05-May,15.961290322580645,11.461290322580645,21.151612903225807,2.341935483870968,0.0,139.3548387096774,6.616129032258065,26.583870967741937,1018.0193548387095,
06-Jun,19.506666666666668,14.256666666666666,25.27,4.22,0.0,158.23333333333332,6.46,24.8,1015.9633333333334,
07-Jul,21.193548387096776,15.641935483870968,27.406451612903226,1.4451612903225808,0.0,139.83870967741936,6.770967741935484,24.55806451612903,1019.167741935484,
08-Aug,20.32258064516129,15.32258064516129,26.5,2.42258064516129,0.0,106.38709677419357,6.461290322580646,23.83870967741936,1015.6096774193549,
09-Sep,14.236666666666668,10.723333333333333,18.586666666666662,3.76,0.0,173.36666666666667,7.37,26.293333333333333,1014.7633333333334,
10-Oct,13.712903225806452,10.567741935483872,17.916129032258063,2.238709677419355,0.0,145.8709677419355,5.287096774193548,21.62903225806452,1021.4903225806452,
11-Nov,7.25,4.846666666666667,9.966666666666669,2.49,0.0,168.63333333333333,6.243333333333334,25.26333333333333,1017.3033333333332,
12-Dec,2.683870967741936,0.6548387096774193,4.816129032258065,2.912903225806452,16.451612903225808,158.5483870967742,7.258064516129032,27.12903225806452,1017.332258064516,
