Jahr;SMI_bereinigt
1988.835062;169.1236027
1988.8378;164.5761934
1988.840538;139.9233567
1988.843276;125.7081035
1988.846014;110.1256041
1988.848752;98.42205056
1988.85149;99.48848205
1988.854228;98.66532303
1988.856966;103.4860017
1988.859704;95.88735361
1988.862441;66.04711676
1988.865179;53.40477913
1988.867917;53.36468494
1988.870655;48.17378116
1988.873393;33.3944273
1988.876131;42.4240782
1988.878869;27.45189721
1988.881607;-77.39663922
1988.884345;-125.6045151
1988.887083;-122.9016553
1988.889821;-112.2427329
1988.892558;-109.7159571
1988.895296;-77.17882029
1988.898034;-43.60005097
1988.900772;-50.73557967
1988.90351;-62.52202423
1988.906248;-72.51713781
1988.908986;-78.50256939
1988.911724;-85.85097494
1988.914462;-86.45556525
1988.9172;-86.3693966
1988.919938;-89.03167072
1988.922675;-87.76565193
1988.925413;-94.23559125
1988.928151;-95.97409998
1988.930889;-90.86819319
1988.933627;-94.49690375
1988.936365;-89.59190069
1988.939103;-87.34841439
1988.941841;-80.80865232
1988.944579;-75.77979924
1988.947317;-71.52951332
1988.950055;-62.22351062
1988.952792;-69.9116384
1988.95553;-86.54416749
1988.958268;-103.286794
1988.961006;-119.8591429
1988.963744;-121.8572953
1988.966482;-110.7161967
1988.96922;-102.5641115
1988.971958;-110.7894909
1988.974696;-113.6325199
1988.977434;-127.6052914
1988.980172;-136.9765947
1988.982909;-139.3416306
1988.985647;-137.9773628
1988.988385;-135.4536939
1988.991123;-135.8421804
1988.993861;-116.4852348
1988.996599;-116.1656068
1988.999337;-111.4767429
1989.002075;-110.004585
1989.004813;-114.0517084
1989.007551;-123.5908401
1989.010289;-129.2073221
1989.013026;-109.1581682
1989.015764;-103.2938539
1989.018502;-102.6243687
1989.02124;-109.4124086
1989.023978;-105.1898665
1989.026716;-95.89819511
1989.029454;-93.72378121
1989.032192;-91.55868507
1989.03493;-83.50910655
1989.037668;-77.97690906
1989.040406;-43.18614855
1989.043143;-35.06013566
1989.045881;-60.42577432
1989.048619;-73.85235574
1989.051357;-76.84128916
1989.054095;-53.53945567
1989.056833;-41.64934225
1989.059571;-43.05855492
1989.062309;-44.23665031
1989.065047;-45.71729726
1989.067785;-18.29630025
1989.070523;-25.08730088
1989.07326;-32.75426398
1989.075998;-31.4793139
1989.078736;-35.79677693
1989.081474;-32.48709782
1989.084212;-38.05347623
1989.08695;-65.32794185
1989.089688;-77.74790679
1989.092426;-81.82087479
1989.095164;-71.86526684
1989.097902;-61.06989588
1989.10064;-58.09806572
1989.103377;-63.53591928
1989.106115;-42.31663264
1989.108853;-32.7847709
1989.111591;-37.08266081
1989.114329;-46.31966485
1989.117067;-62.41786209
1989.119805;-79.3587948
1989.122543;-93.33311545
1989.125281;-96.62644732
1989.128019;-99.70550027
1989.130757;-112.634445
1989.133494;-106.6343988
1989.136232;-101.9237708
1989.13897;-93.23802335
1989.141708;-96.63636687
1989.144446;-102.7835714
1989.147184;-112.6991112
1989.149922;-93.41253827
1989.15266;-105.2150368
1989.155398;-132.0879677
1989.158136;-115.6941149
1989.160874;-78.07182637
1989.163611;-58.12322845
1989.166349;-54.99863804
1989.169087;-42.01239427
1989.171825;-32.66035642
1989.174563;-36.35418104
1989.177301;-35.80190639
1989.180039;-14.95032979
1989.182777;-21.73910843
1989.185515;-13.04589978
1989.188253;-15.26030772
1989.190991;-25.95239498
1989.193728;-19.27051093
1989.196466;9.550752797
1989.199204;9.506160705
1989.201942;5.184771956
1989.20468;30.18133366
1989.207418;26.83819008
1989.210156;12.83623854
1989.212894;-3.299120531
1989.215632;-31.28604384
1989.21837;-24.09885598
1989.221108;9.375162703
1989.223845;19.55482402
1989.226583;5.585974527
1989.229321;-27.88684153
1989.232059;-36.87456297
1989.234797;-38.77812092
1989.237535;-28.98523261
1989.240273;-25.17586506
1989.243011;-38.8592033
1989.245749;-41.90800332
1989.248487;-44.74400884
1989.251225;-55.00949543
1989.253962;-59.68432882
1989.2567;-51.59298461
1989.259438;-61.97244119
1989.262176;-51.4525169
1989.264914;-53.02726452
1989.267652;-50.41114896
1989.27039;-62.82122313
1989.273128;-64.01835341
1989.275866;-54.58720696
1989.278604;-52.29362758
1989.281342;-47.87628364
1989.284079;-56.40473854
1989.286817;-57.36766827
1989.289555;-43.87461629
1989.292293;-36.75771247
1989.295031;-46.19938995
1989.297769;-71.93439584
1989.300507;-93.30091732
1989.303245;-97.57352961
1989.305983;-96.11295731
1989.308721;-99.56898869
1989.311459;-101.8104325
1989.314196;-106.6106226
1989.316934;-109.5407694
1989.319672;-98.25064083
1989.32241;-74.80653954
1989.325148;-68.73709886
1989.327886;-79.45433375
1989.330624;-97.8480354
1989.333362;-114.3191714
1989.3361;-116.2295862
1989.338838;-115.5699448
1989.341576;-109.6321556
1989.344313;-108.4813104
1989.347051;-91.60794607
1989.349789;-113.0279274
1989.352527;-131.890706
1989.355265;-140.3761088
1989.358003;-144.9070287
1989.360741;-141.8155784
1989.363479;-129.8251672
1989.366217;-132.214163
1989.368955;-135.028021
1989.371693;-147.0615362
1989.37443;-152.3620039
1989.377168;-154.4614487
1989.379906;-167.3363279
1989.382644;-160.9170929
1989.385382;-156.4562851
1989.38812;-155.5806791
1989.390858;-152.9643031
1989.393596;-163.0966836
1989.396334;-176.4100556
1989.399072;-203.3583401
1989.40181;-219.9588341
1989.404547;-219.450951
1989.407285;-198.9856044
1989.410023;-164.2737309
1989.412761;-152.0963903
1989.415499;-143.3040266
1989.418237;-128.2611267
1989.420975;-123.8833356
1989.423713;-120.4373886
1989.426451;-109.437677
1989.429189;-115.4405814
1989.431927;-98.57778846
1989.434664;-75.04478527
1989.437402;-61.46809501
1989.44014;-59.47184398
1989.442878;-50.8683016
1989.445616;-32.46782549
1989.448354;-30.85913268
1989.451092;-24.8281956
1989.45383;-20.75573794
1989.456568;-28.0059192
1989.459306;-39.79353921
1989.462044;-45.89292497
1989.464781;-41.09905225
1989.467519;-38.17304089
1989.470257;-18.77702078
1989.472995;-8.774009224
1989.475733;20.13360409
1989.478471;46.34808706
1989.481209;70.85066717
1989.483947;64.21131428
1989.486685;24.28167846
1989.489423;20.46223722
1989.492161;-11.04305815
1989.494898;-33.31920516
1989.497636;-46.16023045
1989.500374;-46.0255473
1989.503112;-48.13697984
1989.50585;-48.75519493
1989.508588;-28.59120773
1989.511326;-30.10572934
1989.514064;-14.0645835
1989.516802;-22.45160257
1989.51954;-28.0575041
1989.522278;-22.77475511
1989.525015;4.442095009
1989.527753;1.969418304
1989.530491;-7.118587104
1989.533229;-12.68230456
1989.535967;-6.023049601
1989.538705;2.512285183
1989.541443;9.513820224
1989.544181;17.57830791
1989.546919;24.89605394
1989.549657;40.68699126
1989.552395;51.11244082
1989.555132;63.6510766
1989.55787;69.20773741
1989.560608;66.49995008
1989.563346;72.14147709
1989.566084;90.96503267
1989.568822;88.53230256
1989.57156;82.24695629
1989.574298;91.62969569
1989.577036;74.84851283
1989.579774;62.31909223
1989.582512;66.64107051
1989.585249;82.46614475
1989.587987;110.4729447
1989.590725;117.4018878
1989.593463;126.8504171
1989.596201;127.805021
1989.598939;134.1462686
1989.601677;130.438939
1989.604415;142.4313826
1989.607153;185.540237
1989.609891;205.0614937
1989.612629;186.8149523
1989.615366;159.9833434
1989.618104;141.0542104
1989.620842;120.9797123
1989.62358;146.5405738
1989.626318;135.8077952
1989.629056;130.1033673
1989.631794;139.5263241
1989.634532;154.7454122
1989.63727;162.3189386
1989.640008;185.3990152
1989.642746;214.6493646
1989.645483;202.9848072
1989.648221;200.9204547
1989.650959;224.515413
1989.653697;217.9215731
1989.656435;237.3771281
1989.659173;227.9296972
1989.661911;186.8708333
1989.664649;206.6746235
1989.667387;206.4332052
1989.670125;203.8265264
1989.672863;204.9591697
1989.6756;212.3905655
1989.678338;226.1205746
1989.681076;219.6103379
1989.683814;202.0695189
1989.686552;187.1486132
1989.68929;194.270968
1989.692028;207.0568154
1989.694766;208.0895252
1989.697504;187.0264339
1989.700242;160.7327266
1989.70298;157.065589
1989.705717;168.4779634
1989.708455;160.9305709
1989.711193;169.4409144
1989.713931;192.4859823
1989.716669;211.8708369
1989.719407;204.1645253
1989.722145;213.3014073
1989.724883;238.9724471
1989.727621;236.628239
1989.730359;245.0471983
1989.733097;240.7456897
1989.735834;187.0750225
1989.738572;155.4238447
1989.74131;181.0784874
1989.744048;186.839774
1989.746786;183.4032576
1989.749524;189.2511266
1989.752262;195.3219993
1989.755;197.2691358
1989.757738;202.456754
1989.760476;211.6270773
1989.763214;217.0854137
1989.765951;243.383317
1989.768689;254.2478956
1989.771427;260.4616709
1989.774165;245.0195451
1989.776903;220.7401856
1989.779641;231.2835779
1989.782379;230.3527406
1989.785117;133.0153321
1989.787855;23.14412484
1989.790593;32.92086121
1989.793331;113.6826636
1989.796068;99.27205419
1989.798806;141.2157719
1989.801544;121.2760583
1989.804282;109.7190749
1989.80702;108.1576086
1989.809758;115.9410117
1989.812496;91.62470805
1989.815234;74.05971081
1989.817972;85.66238591
1989.82071;60.78327946
1989.823448;51.77108988
1989.826185;54.87456466
1989.828923;61.20462694
1989.831661;55.57760172
1989.834399;32.78637491
1989.837137;8.177254239
1989.839875;-20.29654223
1989.842613;-35.42565241
1989.845351;-40.89133283
1989.848089;-48.88408894
1989.850827;-53.41456143
1989.853565;-22.79102192
1989.856302;-10.5039781
1989.85904;17.94718938
1989.861778;21.83737801
1989.864516;15.66247949
1989.867254;-0.954752882
1989.869992;-29.15715773
1989.87273;-44.8314861
1989.875468;-37.4153973
1989.878206;-27.6853278
1989.880944;-23.77240243
1989.883682;-13.40018232
1989.886419;-12.75268116
1989.889157;-21.74217643
1989.891895;-12.2589649
1989.894633;20.83207115
1989.897371;47.05788869
1989.900109;43.82215574
1989.902847;35.91819816
1989.905585;26.28699652
1989.908323;21.43918345
1989.911061;25.34936174
1989.913799;35.35872623
1989.916536;56.40291389
1989.919274;66.21197282
1989.922012;74.16253949
1989.92475;65.65493743
1989.927488;49.05409153
1989.930226;39.75928828
1989.932964;43.77253235
1989.935702;40.2749934
1989.93844;39.23364103
1989.941178;45.82889458
1989.943916;49.45036363
1989.946653;47.02554847
1989.949391;43.35863842
1989.952129;37.30810934
1989.954867;26.44273897
1989.957605;-4.578351832
1989.960343;-29.58689204
1989.963081;-26.49586446
1989.965819;-3.961448546
1989.968557;4.332553141
1989.971295;5.698694576
1989.974033;3.195624147
1989.97677;-17.64956742
1989.979508;-30.58964151
1989.982246;-31.89910556
1989.984984;-26.06910864
1989.987722;-16.8366477
1989.99046;-10.11697422
1989.993198;14.27787689
1989.995936;24.58307259
1989.998674;31.29246291
1990.001412;27.65454871
1990.00415;17.45117349
1990.006887;6.772340327
1990.009625;-3.31731011
1990.012363;-22.99026701
1990.015101;-28.97402629
1990.017839;-26.34695404
1990.020577;-27.88379706
1990.023315;-19.74938328
1990.026053;-10.26756834
1990.028791;4.383780803
1990.031529;-17.49937657
1990.034267;-18.09685789
1990.037004;-18.06186706
1990.039742;-3.561023953
1990.04248;-17.06619446
1990.045218;-12.64264359
1990.047956;-46.58201832
1990.050694;-32.07717408
1990.053432;3.800557633
1990.05617;12.75885099
1990.058908;7.020679688
1990.061646;-5.725277366
1990.064384;-60.9150835
1990.067121;-33.67456394
1990.069859;-46.83460911
1990.072597;-55.787424
1990.075335;-46.69749557
1990.078073;-42.89792377
1990.080811;-35.52570421
1990.083549;-30.53680182
1990.086287;-38.34451168
1990.089025;-15.32276845
1990.091763;-10.11812809
1990.094501;-2.542850919
1990.097238;10.00833214
1990.099976;17.10005319
1990.102714;-4.495195991
